City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Port Alfred,ZA,2020-07-19 12:40:35,-33.59,26.89,67.91,60,0,10.16
85,Cidreira,BR,2020-07-19 12:40:35,-30.18,-50.21,70.09,72,56,5.5
86,Kemijarvi,FI,2020-07-19 12:40:35,66.71,27.43,74.84,51,20,10.07
87,Bambous Virieux,MU,2020-07-19 12:40:35,-20.34,57.76,71.6,64,75,13.87
88,Bella Vista,US,2020-07-19 12:40:36,36.43,-94.23,75.99,88,20,3.36
89,Pistsovo,RU,2020-07-19 12:40:36,57.18,40.53,69.8,68,75,6.71
90,Ribeira Grande,PT,2020-07-19 12:40:36,38.52,-28.7,73.4,60,75,9.17
91,Carnarvon,AU,2020-07-19 12:39:20,-24.87,113.63,59.0,77,0,11.41
92,Kavieng,PG,2020-07-19 12:40:37,-2.57,150.8,81.32,78,15,7.29
93,Sibolga,ID,2020-07-19 12:40:37,1.74,98.78,78.51,81,57,1.57
94,Anadyr,RU,2020-07-19 12:40:37,64.75,177.48,37.4,93,0,4.47
95,Punta Arenas,CL,2020-07-19 12:35:52,-53.15,-70.92,33.8,80,75,12.75
96,Urumqi,CN,2020-07-19 12:40:37,43.8,87.6,84.2,37,77,8.95
97,Presidente Bernardes,BR,2020-07-19 12:40:38,-22.01,-51.55,73.94,51,0,13.56
98,Portland,US,2020-07-19 12:40:38,45.52,-122.68,63.0,72,1,3.51
99,Rundu,NA,2020-07-19 12:40:38,-17.93,19.77,57.2,14,0,13.87
100,Aksu,CN,2020-07-19 12:39:04,41.12,80.26,87.15,22,100,3.62
101,Coihaique,CL,2020-07-19 12:40:38,-45.58,-72.07,33.8,91,90,5.82
102,Rocha,UY,2020-07-19 12:40:39,-34.48,-54.33,67.89,80,100,4.99
103,Oron,NG,2020-07-19 12:40:39,4.83,8.23,80.13,82,78,7.11
104,Robertsport,LR,2020-07-19 12:40:39,6.75,-11.37,78.37,76,60,9.86
105,Amahai,ID,2020-07-19 12:40:39,-3.33,128.92,76.89,86,66,7.78
106,Raton,US,2020-07-19 12:40:16,36.9,-104.44,57.2,87,1,6.93
107,Meulaboh,ID,2020-07-19 12:40:39,4.14,96.13,81.79,73,100,0.98
108,Atuona,PF,2020-07-19 12:40:40,-9.8,-139.03,78.66,75,100,14.92
109,Nyagan,RU,2020-07-19 12:40:40,62.14,65.39,74.8,48,4,10.89
110,Moose Factory,CA,2020-07-19 12:40:40,51.26,-80.61,68.0,94,75,3.36
111,Geraldton,AU,2020-07-19 12:40:40,-28.77,114.6,51.8,93,0,5.82
112,Sitka,US,2020-07-19 12:40:06,57.05,-135.33,55.4,93,90,8.05
113,Paamiut,GL,2020-07-19 12:40:41,61.99,-49.67,46.04,85,9,4.65
114,Abay,KZ,2020-07-19 12:40:41,49.63,72.85,84.2,30,1,15.66
115,Barrow,US,2020-07-19 12:40:41,71.29,-156.79,33.8,86,90,8.05
116,Tam Ky,VN,2020-07-19 12:38:47,15.57,108.48,87.8,62,20,3.36
117,Bay Roberts,CA,2020-07-19 12:40:41,47.6,-53.26,66.99,68,100,8.41
118,Turukhansk,RU,2020-07-19 12:40:42,65.82,87.98,62.91,61,100,4.47
119,Klaksvik,FO,2020-07-19 12:40:42,62.23,-6.59,51.8,76,46,9.17
120,Shinshiro,JP,2020-07-19 12:40:42,34.9,137.5,79.0,93,100,1.99
121,Alofi,NU,2020-07-19 12:40:42,-19.06,-169.92,71.6,94,100,5.82
122,Pittsfield,US,2020-07-19 12:40:42,42.45,-73.25,73.99,83,1,4.43
123,Yar-Sale,RU,2020-07-19 12:40:43,66.83,70.83,59.94,59,26,13.22
124,Georgetown,MY,2020-07-19 12:40:43,5.41,100.34,86.0,74,20,5.82
125,Porosozero,RU,2020-07-19 12:40:43,62.72,32.73,79.23,42,66,2.28
126,San Cristobal,VE,2020-07-19 12:40:43,7.77,-72.22,80.6,61,40,14.99
127,Tual,ID,2020-07-19 12:40:43,-5.67,132.75,79.41,83,78,20.62
128,Cabo San Lucas,MX,2020-07-19 12:40:44,22.89,-109.91,84.2,42,75,11.41
129,Los Llanos De Aridane,ES,2020-07-19 12:40:44,28.66,-17.92,82.99,54,20,14.99
130,Bethel,US,2020-07-19 12:40:44,41.37,-73.41,75.99,83,1,6.76
131,Opuwo,NA,2020-07-19 12:40:44,-18.06,13.84,76.68,18,0,19.95
132,Ancud,CL,2020-07-19 12:40:44,-41.87,-73.82,46.4,100,90,6.93
133,Bowen,AU,2020-07-19 12:40:44,-20.02,148.23,57.2,93,3,6.93
134,Luderitz,NA,2020-07-19 12:40:45,-26.65,15.16,76.41,19,0,9.57
135,Prince Rupert,CA,2020-07-19 12:40:45,54.32,-130.32,55.22,92,100,1.68
136,Iqaluit,CA,2020-07-19 12:40:45,63.75,-68.51,48.2,100,90,3.36
137,Sibut,CF,2020-07-19 12:40:45,5.72,19.07,77.74,88,30,7.92
138,Biak,ID,2020-07-19 12:40:45,-0.91,122.88,77.22,81,14,5.59
139,Kokopo,PG,2020-07-19 12:40:46,-4.35,152.26,76.24,87,0,5.37
140,Antofagasta,CL,2020-07-19 12:38:07,-23.65,-70.4,53.6,71,90,4.7
141,Trelew,AR,2020-07-19 12:39:13,-43.25,-65.31,43.95,84,84,10.16
142,Kahului,US,2020-07-19 12:40:46,20.89,-156.47,78.8,74,1,20.8
143,Chumikan,RU,2020-07-19 12:40:46,54.72,135.31,52.81,94,60,8.1
144,Emba,KZ,2020-07-19 12:40:47,48.83,58.14,98.11,18,64,14.79
145,Farmington,US,2020-07-19 12:39:54,36.73,-108.22,62.6,55,1,9.17
146,Verkhovazhye,RU,2020-07-19 12:40:47,60.75,42.05,75.63,41,0,7.9
147,Saint-Pierre,RE,2020-07-19 12:40:47,-21.34,55.48,71.6,68,40,23.04
148,Esperance,AU,2020-07-19 12:40:47,-33.87,121.9,51.8,76,90,4.7
149,Nantucket,US,2020-07-19 12:36:40,41.28,-70.1,69.8,94,90,10.29
150,Makakilo City,US,2020-07-19 12:40:48,21.35,-158.09,80.6,78,20,4.7
151,Honjo,JP,2020-07-19 12:40:48,36.23,139.18,77.0,86,52,3.0
152,Albany,US,2020-07-19 12:40:48,42.6,-73.97,75.0,70,83,3.91
153,Tiksi,RU,2020-07-19 12:40:48,71.69,128.87,58.98,71,33,8.41
154,Pulandian,CN,2020-07-19 12:40:49,39.4,121.97,71.6,88,90,6.71
155,Trairi,BR,2020-07-19 12:39:28,-3.28,-39.27,83.21,51,0,12.86
156,Qaanaaq,GL,2020-07-19 12:40:49,77.48,-69.36,46.09,73,100,4.59
157,Kichera,RU,2020-07-19 12:40:49,55.94,110.1,51.98,69,64,1.72
158,Tasiilaq,GL,2020-07-19 12:40:49,65.61,-37.64,53.6,46,20,6.93
159,Kamskiye Polyany,RU,2020-07-19 12:40:50,55.43,51.42,69.8,77,40,13.42
160,Bud,US,2020-07-19 12:40:50,39.45,-86.18,81.0,83,1,13.09
161,Frontera,MX,2020-07-19 12:40:50,26.93,-101.45,77.09,65,4,3.24
162,Chumphon,TH,2020-07-19 12:40:50,10.33,98.83,82.4,94,20,2.19
163,Abu Samrah,SY,2020-07-19 12:40:50,35.3,37.18,105.04,8,0,10.29
164,Batemans Bay,AU,2020-07-19 12:40:51,-35.72,150.18,45.0,76,0,6.17
165,Leningradskiy,RU,2020-07-19 12:40:51,69.38,178.42,32.45,97,36,6.31
166,Sume,BR,2020-07-19 12:40:03,-7.67,-36.88,81.07,42,19,16.31
167,Conde,BR,2020-07-19 12:40:51,-7.26,-34.91,78.8,83,40,9.17
168,Batagay-Alyta,RU,2020-07-19 12:40:51,67.8,130.41,59.13,82,100,4.63
169,Goderich,CA,2020-07-19 12:38:03,43.75,-81.72,79.0,82,100,15.9
