City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
147,Pevek,RU,69.7,170.31,51.4,65,64,3.71,broken clouds,0.0,0
148,Natchez,US,31.56,-91.4,77.0,88,1,3.36,clear sky,0.0,0
149,Clyde River,CA,70.47,-68.59,41.0,100,90,0.96,overcast clouds,0.0,0
150,Kieta,PG,-6.22,155.63,81.57,76,94,5.39,light rain,0.16,0
151,Biak,ID,-0.91,122.88,80.49,75,83,7.74,light rain,0.6,0
152,Juneau,US,58.3,-134.42,57.99,87,90,9.17,overcast clouds,0.0,0
153,Santa Maria,BR,-29.68,-53.81,65.61,86,100,4.47,overcast clouds,0.0,0
154,Mar Del Plata,AR,-38.0,-57.56,53.6,100,90,10.29,light rain,0.25,0
155,Salamanca,ES,40.83,-6.0,66.99,82,0,2.24,clear sky,0.0,0
156,Souillac,MU,-20.52,57.52,73.4,53,75,14.99,broken clouds,0.0,0
157,Hasaki,JP,35.73,140.83,73.4,94,75,4.7,light intensity shower rain,0.0,0
158,Arraial Do Cabo,BR,-22.97,-42.03,69.55,89,0,10.71,clear sky,0.0,0
159,Touros,BR,-5.2,-35.46,71.6,88,90,6.93,overcast clouds,0.0,0
160,Lagoa,PT,39.05,-27.98,68.86,70,0,0.54,clear sky,0.0,0
161,Orotukan,RU,62.27,151.7,77.09,30,10,2.21,clear sky,0.0,0
162,Rosendahl,DE,51.77,7.95,60.01,74,6,1.99,clear sky,0.0,0
163,Westport,US,41.14,-73.36,75.2,83,1,4.7,clear sky,0.0,0
164,Provideniya,RU,64.38,-173.3,53.6,71,15,15.66,few clouds,0.0,0
165,Nuuk,GL,64.18,-51.72,53.6,81,42,3.36,scattered clouds,0.0,0
166,Kavaratti,IN,10.57,72.64,82.4,83,90,4.09,overcast clouds,0.0,0
167,Saint-Augustin,CA,51.23,-58.65,55.85,73,1,7.78,clear sky,0.0,0
168,Troitsko-Pechorsk,RU,62.71,56.2,78.33,38,89,9.22,overcast clouds,0.0,0
169,Katsuura,JP,35.13,140.3,75.99,86,100,1.01,overcast clouds,0.0,0
170,Puerto Del Rosario,ES,28.5,-13.86,69.8,83,20,11.41,few clouds,0.0,0
171,Fortuna,US,40.6,-124.16,55.99,100,90,8.05,overcast clouds,0.0,0
172,Muncar,ID,-8.43,114.33,80.91,73,54,11.25,broken clouds,0.0,0
173,Muktsar,IN,30.48,74.52,100.89,28,0,3.0,clear sky,0.0,0
174,Rancho Palos Verdes,US,33.74,-118.39,62.01,97,2,4.25,clear sky,0.0,0
175,Grindavik,IS,63.84,-22.43,48.2,87,75,10.29,broken clouds,0.0,0
176,Chase,CA,50.82,-119.69,66.0,91,29,4.12,scattered clouds,0.0,0
177,Hermanus,ZA,-34.42,19.23,54.0,72,0,1.01,clear sky,0.0,0
178,Flin Flon,CA,54.77,-101.86,66.92,81,100,7.4,overcast clouds,0.0,0
179,Taguatinga,BR,-12.39,-46.57,67.93,53,18,6.22,few clouds,0.0,0
180,Quarteira,PT,37.07,-8.1,73.4,69,0,4.7,clear sky,0.0,0
181,Kudahuvadhoo,MV,2.67,72.89,82.6,73,100,11.45,moderate rain,1.79,0
182,Tautira,PF,-17.73,-149.15,77.0,73,20,2.24,few clouds,0.0,0
183,Wageningen,NL,51.97,5.67,61.0,82,90,2.24,overcast clouds,0.0,0
184,Tasiilaq,GL,65.61,-37.64,42.8,87,81,2.24,broken clouds,0.0,0
185,Mezen,RU,65.85,44.24,75.16,55,11,13.69,light rain,0.11,0
186,Dikson,RU,73.51,80.55,40.84,87,51,10.85,broken clouds,0.0,0
187,Tuktoyaktuk,CA,69.45,-133.04,46.4,70,40,2.24,scattered clouds,0.0,0
188,Makakilo City,US,21.35,-158.09,78.8,83,20,3.36,few clouds,0.0,0
189,Ahipara,NZ,-35.17,173.17,56.14,77,100,10.98,overcast clouds,0.0,0
190,Penzance,GB,50.12,-5.54,60.01,100,40,9.17,scattered clouds,0.0,0
191,Hokitika,NZ,-42.72,170.97,44.8,75,100,11.03,light rain,0.28,0
192,Anahuac,MX,27.23,-100.15,83.28,67,2,16.84,clear sky,0.0,0
193,Winslow,US,35.02,-110.7,69.8,49,1,5.79,clear sky,0.0,0
194,Kismayo,SO,-0.36,42.55,80.29,65,12,21.74,few clouds,0.0,0
195,Birjand,IR,32.87,59.22,91.4,8,0,9.17,clear sky,0.0,0
196,Tuatapere,NZ,-46.13,167.68,39.0,83,81,3.0,light rain,0.2,0
197,Kodiak,US,57.79,-152.41,60.8,55,1,13.87,clear sky,0.0,0
198,Kurchum,KZ,48.57,83.65,77.99,32,70,5.12,broken clouds,0.0,0
199,Cedar City,US,37.68,-113.06,71.6,26,40,3.36,scattered clouds,0.0,0
200,Muros,ES,42.78,-9.06,64.0,83,7,3.0,clear sky,0.0,0
201,Bengkulu,ID,-3.8,102.27,84.07,71,48,7.11,scattered clouds,0.0,0
202,Salalah,OM,17.02,54.09,82.4,83,75,13.87,broken clouds,0.0,0
203,Ucluelet,CA,48.93,-125.55,57.0,89,55,3.83,broken clouds,0.0,0
204,Torbay,CA,47.67,-52.73,61.0,82,40,13.87,scattered clouds,0.0,0
205,Yarmouth,US,41.71,-70.23,77.0,88,90,6.93,mist,0.0,0
