City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
325,Atar,MR,84.11,20.52,-13.05,Oumou Elghoura
327,Port Blair,IN,82.4,11.67,92.75,Fortune Resort Bay Island
335,Nanakuli,US,78.01,21.39,-158.15,Camp Palehua
336,Saint George,US,87.8,37.1,-113.58,Best Western Plus Abbey Inn
338,Kindu,CD,83.37,-2.95,25.95,Hotel Karibu
339,Gohpur,IN,78.8,26.88,93.63,Murchana Music
341,Bambous Virieux,MU,75.0,-20.34,57.76,Casa Tia Villa
346,Rincon,US,78.8,32.3,-81.24,Bent tree subdivision
347,Manamadurai,IN,89.6,9.7,78.48,MRS Lodge
349,Miri,MY,87.8,4.41,114.01,"Mega Hotel, Miri"
351,Manggar,ID,84.83,-2.88,108.27,Guest Hotel
354,Papetoai,PF,77.0,-17.5,-149.87,InterContinental Resort And Spa Moorea
360,Los Barrios,ES,75.2,36.18,-5.49,Hotel Montera Plaza
362,Zurrieq,MT,84.2,35.83,14.47,Ta' Bertu Host Family Bed & Breakfast
364,Mahajanga,MG,77.0,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
371,Wilmington,US,80.6,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
373,Bubaque,GW,80.89,11.28,-15.83,Casa Dora
375,Bintulu,MY,82.4,3.17,113.03,900 Boutique INN
382,Adrar,MR,88.99,20.5,-10.07,
391,Samarai,PG,78.17,-10.62,150.67,Nuli Sapi
393,Blagodatnoye,RU,77.0,45.4,42.59,
396,Nishihara,JP,89.6,26.18,127.76,Minshuku Agaihama
398,Basco,PH,86.49,20.45,121.97,Nathaniel's Lodge
400,Padang,ID,84.2,-0.95,100.35,Mercure Padang
402,Komsomolskiy,UZ,87.8,40.43,71.72,Ikathouse
405,Surt,LY,78.87,31.21,16.59,City Hotel
408,Mount Isa,AU,78.8,-20.73,139.5,ibis Styles Mt Isa Verona
412,Lazaro Cardenas,MX,78.42,17.96,-102.2,Collection O Hotel Quinta Antigua
414,Tual,ID,80.1,-5.67,132.75,Grand Vilia Hotel
415,Saint-Georges,GD,80.6,12.06,-61.75,Radisson Grenada Beach Resort
416,Tukrah,LY,80.2,32.53,20.58,استراحة لاقروتا
418,Seymchan,RU,80.71,62.88,152.43,
419,Methoni,GR,84.99,36.82,21.7,Methoni Beach Hotel
421,Saint-Louis,SN,81.23,16.33,-15.0,
422,San Juan Del Sur,NI,79.84,11.25,-85.87,Nuestra Casa
424,Misratah,LY,79.74,32.38,15.09,فندق الماسة
431,Kefamenanu,ID,77.29,-9.45,124.48,PAULUS TAITOH
439,Pendleton,US,77.0,45.67,-118.79,Americas Best Value Inn Pendleton
440,Pecos,US,84.2,31.42,-103.49,Knights Inn Pecos
442,Ixtapa,MX,77.94,20.7,-105.2,Container Inn Puerto Vallarta
444,Kinablangan,PH,84.92,7.69,126.55,Mainit Balete Hot Spring
445,Iki-Burul,RU,84.2,45.82,44.65,
446,Mujiayingzi,CN,88.83,42.12,118.78,Jinjiang Hotel
448,Naze,JP,87.8,28.37,129.48,奄美ポートタワーホテル
455,Porto Novo,BJ,75.2,6.5,2.6,Tour Eiffel Hotel Benin
460,Sovetskiy,RU,75.07,61.36,63.58,Apartment on Kievskaya 29
463,Yuzawa,JP,86.0,39.17,140.5,湯ノ原温泉
466,Lorengau,PG,84.07,-2.02,147.27,Lorengau Harbourside Hotel
470,Hashtrud,IR,76.14,37.48,47.05,هتل و مسافرخانه کارون
473,Waingapu,ID,82.26,-9.66,120.26,Pondok Wisata Elim
474,Road Town,VG,82.0,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
475,Oyama,JP,77.0,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
479,Hamilton,US,75.0,39.18,-84.53,Six Acres Bed & Breakfast
486,Porbandar,IN,86.54,21.64,69.61,Lords Inn Porbandar
488,Tieli,CN,87.51,46.95,128.05,Dynasty Hotel
490,Mogadishu,SO,78.8,2.04,45.34,Hotel Juba
491,Brigantine,US,75.2,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
493,Castrolibero,IT,78.8,39.31,16.19,Hotel Sant'Agostino
497,Verkhnyaya Inta,RU,76.57,65.98,60.31,
503,Athens,GR,84.2,37.98,23.72,Novotel Athenes
505,Jurm,AF,83.77,36.86,70.83,
511,Dwarka,IN,86.4,22.24,68.97,Hotel Narayan Avezika Comfort
518,Kulhudhuffushi,MV,82.15,6.62,73.07,Haajy Guest House 1
521,Bilibino,RU,78.57,68.05,166.44,Gostinitsa Severyanka
525,Najran,SA,89.6,17.49,44.13,محمد هادي ال فطيح
528,Srednekolymsk,RU,88.81,67.45,153.68,
529,Atambua,ID,80.22,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
530,Kutum,SD,76.23,14.2,24.67,Dibbo areaمنطقة دبو
532,Khadzhalmakhi,RU,87.8,42.42,47.18,
533,Jalu,LY,81.84,29.03,21.55,Jalu Hotel
540,Ust-Kuyga,RU,85.84,70.02,135.6,
